
《10.破碎日冕》

01.10-1 被追逐者


//////  伦蒂尼姆 奥克特里格区  //////
//////  碎片大厦内部  //////

"特雷西斯": 我们的工程已近尾声。
"特蕾西娅": ......我听到了风暴的声音，他们也听到了。
"特蕾西娅": 他们正在向我诉说，他们喜欢这个声音。他们迫不及待地想要变成风暴的一部分，肆意地在空中吼叫，去吞吃我们眼前这座可恨的城市。
"特雷西斯": 那正好。
"特雷西斯": 十天之后，飞空艇就会竣工。到时候，他们就能去往伦蒂尼姆的上空，成为这场风暴的引航员。
"特蕾西娅": 我会和他们一起去。
"特雷西斯": 这符合我们的计划。既然我需要守着碎片大厦，那你就是指挥我们的空中力量的最佳人选。
"特蕾西娅": 不，特雷西斯，我不是这个意思。
"特蕾西娅": 我和他们，我们只能一起去。
"特雷西斯": ——
"特雷西斯": 好。
"特雷西斯": 在你们动身之前，你还需要继续履行你的职责。
"特雷西斯": 王庭需要你，我们的战士也需要他们最信任的君主。
"特雷西斯": 而且，你本就比我更擅长建设。自从你开始出席王庭会议，我们的施工速度加快了百分之十。
"特蕾西娅": 我不会忘了我应该做什么。
"特蕾西娅": 还有，我注意到，你撤掉了那些......守卫。赦罪师没少抱怨你吧？
"特雷西斯": 撤掉你周围的守卫是军事委员会的决定。我们需要更多岗哨，来应对最关键时期的危机。
"特蕾西娅": 需要的话，我也可以去战场。
"特雷西斯": 你留在这里。这座塔......还有飞空艇，这才是我们计划的核心。
"特雷西斯": 等这两项工程彻底完成，卡兹戴尔将拥有对抗所有国家的力量。
"特蕾西娅": 对抗所有国家吗......
"特蕾西娅": 虽然我从来都知道你的野心，但每次听见，都难免有些不可置信。
"特雷西斯": 你不是总担心着他们会不容许我们重新崛起吗？
"特雷西斯": 很快就没这个必要了。
"特蕾西娅": 是啊。
"特蕾西娅": ——如果我们连风暴的走向都能掌握，又有谁还会去忧虑飘到头顶的阴云？
"特雷西斯": 过去我们萨卡兹任由敌人们追逐。
"特雷西斯": 我们一次次地在废墟中站起来，一次次地重建家园，又一次次地看着我们的家被他们挑起的战争撕扯成碎片。

"特蕾西娅": 萨卡兹......萨卡兹。我们是无根之人。
"特雷西斯": 这是为什么？只因为他们占去了最好的土地，不允许我们扎根。
"特雷西斯": 两百年前那场战争中，我们倾尽全力，才将外敌打退——但是我们依然没能保住卡兹戴尔。
"特雷西斯": 在那之后，我们花了多少时间，才勉强将流落各地的残部重新召集？
"特雷西斯": 我们又花了多少时间——
"特雷西斯": 才能在维多利亚和乌萨斯的眼皮子底下，将一些他们看不上的碎片运至他们同样看不上的荒地，将卡兹戴尔再度建起？
"特蕾西娅": 两百年？
"特雷西斯": 是，我们花去了整整两百年。
"特雷西斯": 那下一次呢？假如我们的卡兹戴尔再一次毁于战火，我们又需要多少时间才能将它重建？
"特雷西斯": 五百年——还是更久？
"特雷西斯": 敌人们就快得逞，正因为我们已经习惯了流浪。
"特雷西斯": 一次又一次的毁灭，或许永远无法泯灭萨卡兹的精魂，却在事实上打散了我们。
"特雷西斯": 如今的卡兹戴尔只是拥挤的居所，不是家。
"特雷西斯": 更多的萨卡兹游荡在外面的大地上，眼里只有明天的面包，却没有更远的梦想。
