
《16.将进酒》

01.IW-ST-1 客将至



//////  爹，墙上为什么挂着把刀？  //////
//////  那是爹年轻时候讨饭吃的伙计。  //////
//////  爹，那为什么刀下面还有个空架子？  //////
//////  那是留给一个老前辈的。  //////
//////  老前辈人呢？  //////
//////  和爹闹掰了。  //////
//////  为什么？  //////
//////  因为......  //////

清晨时分，多云天气。

大炎尚蜀，应峰路，有一家客栈。
大炎如今，还叫客栈的店，多也不多。
不过这里古色古香，好酒好茶，有尚蜀最好的风情在。
红色的牌匾，金色的字。
“行裕”。
"掌柜模样的人": 湖松酒十坛，云辽酒三坛，归行老酒六坛......嗯......
"掌柜模样的人": 刘二，你这儿的业绩，怎么比渡口那边少了这么多？
"客栈伙计": 这您不能怪我啊，渡口那儿月初不知怎么的，热热闹闹地办了好几次宴，卖得比咱们这好不是理所当然的吗！
"掌柜模样的人": 摆几次席，能差多少？
"客栈伙计": 哎哟喂，您别站着说话不腰疼。
"客栈伙计": 您那几天不在尚蜀，是不知道那排场有多夸张......说那是开张吃半年，一点都不过分啊。
"客栈伙计": 再说了，前几个月分明是咱们业绩更好，就这两天翻了船。郑大掌柜，您可不能拉偏架啊。
"客栈伙计": 要知道咱们这家门店，可是最早做起来，最早做火的。其他店铺——要我说啊——见着咱都得喊一声老汉儿。
"客栈伙计": 您可不能搞隔代亲，有了孙子忘了儿啊。
"郑掌柜": 哭丧什么，谁是你老汉儿？我还什么都没说呢。
"客栈伙计": 真等您说出口，那不就全完喽。
"客栈伙计": 我就是运气不好，没碰上那几个贵人......
"郑掌柜": 那怎么不见你运气好一回？
"客栈伙计": 唉！贵人贵人，哪来这么多贵人......
"客栈伙计": 咱们一直都靠的老主顾捧场，广告也不肯打，哪怕请几个漂亮姑娘帅小伙也好啊......
"郑掌柜": （瞪）......
(震动)
"客栈伙计": 我啥也没说。刚才那是在放屁呢。
"郑掌柜": 开酒楼客栈，凭的是贵人，靠的是关系，这话是不假。可你又怎么知道谁是贵人，谁不是呢？
"客栈伙计": 我要是什么都懂，我也当掌柜啦。
"郑掌柜": 那就好好学着。
"郑掌柜": 有钱有势有牌面的爷，是个明眼人都看得出来，哪轮得到你这不开窍的？
"客栈伙计": 呃......
"郑掌柜": 走江湖也好，在城里安家立业也好，只要人活着，少不了和别人打交道。
"郑掌柜": 只要打交道，就少不得一双眼。识人，识事，咱们才有今天的好日子。
"郑掌柜": 整天办灯儿，打烊就去麻将馆，你能有什么出息......
"郑掌柜": ......
"客栈伙计": ......咋不骂了？
"郑掌柜": 没见门前有俩客人吗！还不快去迎客！
(震动)
"客栈伙计": 哎哟......我还真没看见，快快，里边请！本日头两位客人，送盐花生两碟，菊花茶一壶！
"老鲤": 我们似乎运气不错？
"老船夫": ......时间赶早，就当我先替梁大人，为您接风洗尘。
"客栈伙计": 二位先坐，茶水一会儿就到！
"老鲤": 我还以为我们会直奔着梁府去。
"老船夫": 你那位“朋友”，好歹是一方父母官，忙。
"老鲤": 忙到怠慢朋友，看来是真忙。
"郑掌柜": ......
"客栈伙计": （大掌柜大掌柜，那您瞧着，这两个人算不算贵人？）
"郑掌柜": ......呵。
"郑掌柜": 少问多看，人不可貌相。

