
《21.理想城：长夏狂欢季》

01.IC-ST-1 旅行前夕



//////  叮当、叮当。真是忙碌啊，阿卡胡拉人。  //////
//////  你问我们在做什么？哈，阿卡胡拉的战士们还能做什么？  //////
//////  最伟大的武器，强大的造物，有了大祭司与依娜姆商会的协助，我们可以轻松创造更多的器械！  //////
//////  征服！“贡业”！阿卡胡拉的名号将会响彻云霄！  //////

"激动的阿达克利斯人": “贡业”，“贡业”，啊，这个词真是太美好了......是这么发音的吧，尤吉？
"尤吉": 不是，哥哥。是“工业”。而且，你应该注意休息。而不是跑来搅和......呃，全自动种植砍伐一体化机器人“丛林三号”的作业。
"尤吉": 准确来说经过昨晚的报废和重修，现在已经是四号了。
"尤塔": 尤吉，我最近状态好得很，不用担心。真没想到，石头......哦，源石还能这么用，真是让人大开眼界！是新的技术？谁搞来的？
"尤吉": 多半是依娜姆。
"尤塔": 啊......如同嘉维尔一般的怪力，又可以将上半身螺旋发射，甚至还能滞留在空中半分钟之久......
"尤吉": 唔，确实很惊人，不过大祭司将那玩意当时的状态称之为“解体”。
"尤塔": 我以前就在想了，尤吉。你看，外面的大地如此广阔，我们现在有了这么多的......“汞业”！
"尤吉": 工业。而且这个词不是这么用的，大祭司说过。
"尤塔": 那无所谓，更重要的是越来越多的巨大机械！还有越来越简单的操作，越来越低的事故概率！
"尤塔": 现在我们是不是可以做更多事情？！
"尤吉": ......比如？
"尤塔": 有点野心，弟弟，把目光放向整个萨尔贡，你想象到了吗——
"尤吉": 喔，喔......
"尤塔": ——我们的雕像！有三座山那么高！有两片湖那么大！！
"尤吉": 喔哦哦——！
"尤塔": 当然了，族长的雕像也得有......还有大祭司的！依娜姆的也不能落下......
"尤塔": 最后，还需要一些纪念性质的......建筑！对！宫殿！我想想......用木头？不行，得是砂岩或者坚硬的石头......干脆用源石！对！
"尤塔": 用源石块堆起来！堆一个巨大的建筑！
"尤吉": 堆起来？什、什么形状？和那些神殿一样？
"尤塔": 还是简单一些好，比如圆形......唔，石头堆不出圆形。那就逐层向上，从每个方向看都是三角形！
"尤吉": 哦......哦！三角！塔！剩下的只有取名了啊！
"尤塔": ......不过，说这些也没用了啊。嘉维尔说过，我这种病是看不到那一天的......
"尤吉": 哥哥......不！我们只要改变一下思维，把宫殿变成哥哥的坟墓不就好了吗？
"尤吉": 这下别说阿卡胡拉了，整个萨尔贡都不会忘记哥哥的，名字也有了，就叫“尤吉尤塔塔”！我们一定会在哥哥有生之年建完那座塔！
"尤塔": 尤吉......！
"特米米": 不要说这么不吉利的话啦......
"尤塔": 唔，特米米......你怎么还在这儿呢？
"尤塔": 我还以为昨天你就一刻不停地跑回去找嘉维尔和族长啦。
"特米米": 难得有机会回来看一看，我总不能那么快就走吧？
"尤塔": 也是。所以你今天来这里做什么？已经来打过招呼了吧？
"特米米": 其实......
"刻薄的杜林人": ......
"尤塔": 喔，你是依娜姆提过的那个小个子。怎么，难道是来抱怨今天的伙食的？哎呀，我也觉得最近的饮食太清淡了点，没肉怎么行......
"刻薄的杜林人": 不，别的事。还有，我是斯第奇·画布。别只看着别人的身高，阿达克利斯人都是这样吗？
"特米米": 哈哈，其实不是这样的......
