
《27.空想花庭》

01.HE-ST-1 奉上冠冕



//////  人们都说，拉特兰是一座乐园。  //////
//////  这里自由，欢乐，富有秩序，是纷乱的世间为数不多的净土。  //////
//////  孩子，你可曾对此抱有任何怀疑？  //////
//////  我们的圣城，这座城市如何建立，如何维系，如何发展延绵。  //////
//////  为何拉特兰独一无二，为何拉特兰被颂为世间净土，千年乐园？  //////
//////  孩子，你可曾想过，倘若大地上的战火重燃，和平一朝崩毁——  //////
//////  世间可还容许一座乐园独存？  //////
//////  危机。  //////
//////  重复警告。  //////
//////  危机。  //////

//////  ......危机等级......评估中......  //////
//////  最高级......  //////
//////  自动运行推演程序。  //////
//////  推演失败。  //////
//////  启动紧急应对机制。  //////
//////  现输出适格人员名单......  //////
//////  ......  //////

"教宗骑士": 教宗阁下，人都到齐了。
"伊万杰利斯塔十一世": 辛苦你了。
"教宗骑士": 您真的决定了吗？除历代教宗会被授封圣徒外，之前从来没有这样的先例，如此决定恐怕会有些太冒险......
"伊万杰利斯塔十一世": 如你所说，我翻遍了所有典籍，遍观我们千年来的记录，从没有类似的记载。
"伊万杰利斯塔十一世": 但不必担忧，这并非值得忧虑之事。
"伊万杰利斯塔十一世": 恐怕值得思虑的，是我得到的那份警示。
"教宗骑士": 您所说的警示，具体是什么内容？
"伊万杰利斯塔十一世": 我很想坦诚地回答你的问题，但很可惜，我办不到。
"伊万杰利斯塔十一世": 闪耀在我们头顶的信仰向我预警，让我们得知危机将至，但究竟是何种危机，它将如何到来，无人知晓。
"伊万杰利斯塔十一世": 我只见到一份名单，数个人名......
"伊万杰利斯塔十一世": 上面的头一位，就是我们今天的主角。
"教宗骑士": 因此您才提出要给那小子圣徒的名号？
"教宗骑士": 即便如此，也可以换个头衔，“圣徒”......还是太特殊，太重了。不论如何，这可是最初建立拉特兰城的圣人们才能有的称谓！
"伊万杰利斯塔十一世": 啊，我记得我也有此头衔。
"教宗骑士": 这、这如何能相提并论！您是教宗！
"教宗骑士": 您现在相当于给出一份不小的权力。自此之后，他将有权参与诸多事务，甚至影响决策......这绝非小事！
"伊万杰利斯塔十一世": 别这么紧张，吉奥瓦尼，有时我们需要一点小小的冒险。
"伊万杰利斯塔十一世": 对了，我刚刚是不是说过，我得到的那份名单上可不止有一个人名。
"教宗骑士": 什么？难道您想把那些人全部封为圣徒......？！
"教宗骑士": 胡闹......我是说，这不合规矩！
"伊万杰利斯塔十一世": 别急于否定，吉奥瓦尼。首先我们得把人都找到才行。
"伊万杰利斯塔十一世": 对啦，我在上面看到了不少我们都熟悉的朋友的名字。你可知这份名单上还有谁？
"教宗骑士": 毫无头绪。
"伊万杰利斯塔十一世": 哦，既然你猜不到，那我就多保持一些神秘感。
"伊万杰利斯塔十一世": 吉奥瓦尼。
"伊万杰利斯塔十一世": 我想，等这次仪式结束后，我就该动身去拜访这些朋友了。

"快乐的拉特兰人": 嚯，这儿怎么放了这么多气球？
"快乐的拉特兰人": 前边那条街还有苹果派投掷大赛，满地都是苹果派，害得我只能绕路走......今天是什么好日子？
"精神的拉特兰人": 不知道啊！好像是有什么仪式吧，具体的我就不清楚了。
