
《32.怀黍离》

01.HS-ST-1 禾下梦



哪里能见到这样一片农田？
稻子疯了似的长，齐刷刷笔挺挺地直立着，像是牧兽秋后的毛。风一吹，太阳一烤，便泛起热腾腾的浪来。

女人站在田地中央，乱蓬蓬的枝叶不住拉扯着她的衣摆。她拨开茎秆，向浩瀚的金黄深处走去，像是穿越一片海。
"稚嫩的童声": 上哪去？
"温柔的女性": 找庄稼。
"稚嫩的童声": 这不是遍地都是庄稼？
"温柔的女性": 要找能种到更远的地方去的庄稼。
"稚嫩的童声": 为什么要到别的地方种庄稼？这儿有这么多，还不够？
"温柔的女性": 这些庄稼，喂不饱所有人。
"稚嫩的童声": ......
"稚嫩的童声": 你在这，找多久了？
沙沙。
一只鼹兽从地洞里探出头来，阴暗的坑洞应该连接到了很远的地方，渺小的生物也是漂泊的外来客。
直到它看见了这片无边际的田野，像是被这种宽广深深地震撼了，它悲哀地叹了一口气，又折回了暗无天日的地底。
......
"稚嫩的童声": 我们怎么知道，种子种下去会发芽？怎么预知天气的变化？
"温柔的女性": 看得多了，自然就知道了。
"稚嫩的童声": 看多了就能知道......包括发生在很久以后的事？
"温柔的女性": 种瓜得瓜，种豆得豆。
"稚嫩的童声": 庄稼是种子变的，“我们”又是什么变的？
"稚嫩的童声": 我们从哪里来？死后又会到哪儿去？
"温柔的女性": 我们是从大地里长出的，死了以后也会回到地里去。
"温柔的女性": 人和庄稼，都一样。天地万物，都在轮回。
"稚嫩的童声": 就像你教我的那首歌？

//////  春雨惊春清谷天，夏满芒夏暑相连。  //////
//////  秋处露秋寒霜降，冬雪雪冬小大寒。  //////
......

"？？？": 喂——
"？？？": 喂————
"？？？": 醒一醒。
"温柔的女性": ......
"年": 老姐？
"黍": 嗯......我在。
"年": 情况咋样？从外面看，这“大家伙”好像还不是很听话的样子。
"黍": 嗯。
"黍": 而且看起来比我的几个妹妹还要调皮一点。
"年": 先停一下吧，这儿又不是夕平时乱画的那些东西，我怕你待的时间长了，脑壳犯晕。
"年": 小心点......心急吃不了热豆腐。
"黍": 说得也是，确实有些疲惫了......
"黍": ......小年，可以拉我一把吗？

"夕": 你们再不出来，我就考虑自己回去了。
"年": 是吗？我看看，刚才是谁被吓得小脸发白了？
"夕": ......闭嘴。
"年": 我们现在在给“巨兽”做心脏起搏手术哎，哪有那么容易？
"夕": ......唉。
"夕": 你跟我讲这个计划的时候，我觉得你一定是疯了......亏你敢想这种点子。
"年": 不就是用整座移动城市模拟一只巨兽嘛，我形你意，形神兼备，有什么不行的？
"黍": 小年是越来越机灵能干了。
"夕": 少来。要是没有天师府的老家伙和黍姐，她能成什么事？
"年": 帮司岁台做了这么多杂事，积攒下的人情总该派上点用场。
"夕": 所以，情况到底怎么样？
"年": 好得很。
"年": 但要用这个玩意作为替代本尊的容器，在那个老家伙被干掉以后，我们这些虚无缥缈的可怜人还能有所依凭，恐怕还得费点力。
"黍": 毕竟是个麻烦的孩子。
"夕": 哪里好了，还不是一事无成。
"年": 你不就想说，造这个玩意你也出了力。没被姐姐表扬，吃醋了？
"夕": ......幼稚。
"黍": 夕的画技也精进了。虽然这么多年没见，看来还是有认真用功，没有虚度光阴的。
