
《36.太阳甩在身后》

01.AS-ST-1 辉煌之城



"匆忙的女孩": 那盏灯再吊高一些，我需要打在展品上的灯光完美地照出每一处细节。
"博物馆员工": 好的，馆长女士！
"匆忙的女孩": 谁把这尊歌女胸像放在古历纪暗阑时代的雕像群中的？它们根本不在一个时代，快取出来，送到第二展厅去。
"博物馆员工": 我去送！
"匆忙的女孩": 那件按古历纪咏叹时代制作技艺复原的乐器呢？为什么我没在展台上看到？
"匆忙的女孩": 不在这里......
"匆忙的女孩": 也不在这里......
"愉悦的歌声": ♪远方的客人啊，莲花池中潋滟的水波泛过你来时的足迹♪
"愉悦的歌声": ♪树荫下，我备好了清甜的椰枣与醇香的啤酒♪
"愉悦的歌声": ♪何不一同举杯，共庆盛夏♪
"谄媚的员工": 啊，梅捷缇克缇女士，您的歌声就像天籁，萦绕不停！
"奉承的员工": 呀，梅捷缇克缇女士，您的琴音正如流水，缓缓流淌！
(音符表情)
"梅捷缇克缇": 那当然，为了完美演绎这首古老的歌谣，我可是苦练了一个多月。
"匆忙的女孩": ......
"匆忙的女孩": 啧，你们一个个说起话来像嘴上抹了蜜，干起活来就像脚底抹了油，根本找不到影。
"匆忙的女孩": 缇缇，你应该知道，明天这件复原乐器就要展出了吧？
"梅捷缇克缇": 今天先借迎宾部一用嘛，阿娜特。有贵宾莅临，本馆总是要好好招待一番的。
"阿娜特": 这可是为漫灌节准备的特别展会，缇缇。
"阿娜特": 当前我们首要的任务是确保展会的每个环节都不出错。
"阿娜特": 这里的人眼光有多挑剔，你作为老员工应该比我更清楚。
"梅捷缇克缇": 别抓狂嘛，馆长大人。
"梅捷缇克缇": 我知道你刚上任就要策划如此重要的展会，难免会有点小焦虑。
"梅捷缇克缇": 但相信我，阿娜特，放平心态就好。无论我们展出什么，都会有人挑刺的。
"梅捷缇克缇": 毕竟米纳特哈玛仪城中，家家户户都有些珍贵的小私藏，看不上我们的展品很正常。
"阿娜特": ......我要去查看明天亮相的新展品了。
"梅捷缇克缇": 放心，我不会去打扰你和那位男士约会的。
"阿娜特": 它是我的研究对象，不是约会对象。
"梅捷缇克缇": 是你看它的目光实在太深情了嘛。
"梅捷缇克缇": 奇怪......
"梅捷缇克缇": 话说这都几点了，那些家伙还没接到人吗？

"无所事事的市民": 我猜，那个女孩是在观察水利设施的运作，好写一篇城市水利发展史的论文。
"百无聊赖的市民": 或许她是个铭文学家，只是在清理河中石碑上的污泥。
"无所事事的市民": 唉，有什么区别呢？不都是些搞历史的家伙。
"无所事事的市民": 只能怪我们的城市历史太悠久，全萨尔贡的史学家都喜欢往这里跑。
"百无聊赖的市民": ......是啊，看这四百年的古代河道，又宽又阔，看这两百年的建筑，又高又大。
"百无聊赖的市民": 什么叫厚重的历史传承？这就是。
"无所事事的市民": 那有什么能比得上漫灌节呢？那可是承自千年前的传统节日。
"百无聊赖的市民": 哦，等到河水泛滥，我将为河中的神明献上产自绿洲的洁白花朵，愿祂鼻息间皆为永恒的芬芳。
"百无聊赖的市民": 你又准备了什么，朋友？
