02.LTTB Extraordinary rap battle! 行动后


"热情的歌迷":    结束了......
"歌迷？":    呼，我有点头晕。
"激动的歌迷":   结束了！大帝先生赢了！
"大帝":    毫无疑问的结果！
"大帝":    是什么让你们产生能赢我的错觉？集体老眼昏花还是大脑错乱？
"大帝":    不过无所谓，就节目效果来说确实还不错，比之前假模假样的点评会像样多了。
"大帝":    还有，刚刚那些挑战者里面是不是还混了什么怪东西。说真的，你们选人的水平真是一坨屎。
"主持人":    这也是惊喜的一环，看来效果很好。
"老牌音乐人":    我也觉得还不错，这不是挺有意思的嘛。
"大帝":    喂，别的不提，为什么这个臭老鼠能在那里坐着？
"“沙炫风”":    站得太久，腿脚撑不住咯。
"大帝":    呸，那你怎么不直接回家养老？
"主持人":    总之，恭喜大帝先生在这次挑战赛里获得优胜！
"主持人":    我们为获胜者准备了独一无二的纪念雕像，不论是在观赏性还是收藏方面都具有极高的价值！
"老牌音乐人":    呃，说实话，你们那奖品送我都不想要。
"“沙炫风”":    确实，摆在家里可能会做噩梦。
"大帝":    那是你们不懂欣赏！
"大帝":    算了，别给我，给那边的几个小朋友吧。他们节拍打得不错，和大帝同台这种机会可不常有，是该好好纪念一下。
"激动的歌迷":   可以吗？！
"大帝":    别激动，我说了可以当然就可以。
"大帝":    这事我说了算。怎么，难道还有人不知道吗？我会好心再提醒那些还没搞清楚状况的人最后一次，最后一次！
"大帝":    仔细听。然后喊我的名字，崇拜我。
(震动)
"大帝":    我，就是站在这里的唯一真理。
"大帝":    这个舞台上——我说了算！

