01.平凡即是喜乐


"？？？":   你做得很好，水月。
"水月":   西塞罗爷爷。
"西塞罗":   她只是没能像你一样完美。
"西塞罗":   她是那么地渴望改变，哪怕使者的馈赠让她迷失——
"西塞罗":   那仍是她期盼的。
"水月":   可回忆和歌唱呢？她看上去和以前一样喜爱歌唱。
"水月":   变成那副样子，她只能发出些让自己害怕的杂音。
"西塞罗":   我只能提供选择，至于个体最后走向何方，我想没有人能够决定。
"水月":   即使她变成现在这样，您也无动于衷吗？
"西塞罗":   这样的个体确实并不多见。
"西塞罗":   大多数人类并不知道自己在索取什么东西，或是被某种突发的情感所操控。
"西塞罗":   当他们吞下使者的馈赠后，意识就被大群的本能征服，成为恐鱼，或是某种不完全的海嗣，迫不及待地游入海洋。
"西塞罗":   海沫能够从这种形态下转变回来，想必还是打心底里想要抓住那些她所珍视的人类特质吧。
"西塞罗":   某种程度上来说，就像你一样，水月。
"水月":   ......
"西塞罗":   但是，你并没有这个过程，即便接受了海嗣之躯，你对自己的认知仍旧将你塑造成了现在这副模样。
"西塞罗":   你接受了成为海嗣的一切，然后做出了人类的选择，就和曾经的我一样。
"西塞罗":   可她失败了。
"西塞罗":   因为恐惧，或是孤独？我并不清楚。
"西塞罗":   就结果来说，她处在成功与失败之间。虽然接受了馈赠，但拒绝再将任何东西割离自身，成了自然的不和谐音。
"水月":   如果您的实验所描绘的未来蓝图拒绝了那些不够强韧的个体，那么这对人类而言就不能算是一种成功的学习和进化。
"西塞罗":   确实，确实，我亲爱的孩子。既然这是你给出的答案，我会修正我的研究。
"西塞罗":   还记得我向你提出过的问题吗？
"西塞罗":   “如何成为一个更好的人类？”
"西塞罗":   我很满意你的答复。
"西塞罗":   你看，正确地接受这份力量让你的思维也变得开阔了起来，看来你已经完全洞悉了我的目标。
"西塞罗":   或许在我的努力下，所有品尝神明果实的人类都能变得如你一般聪慧。
"水月":   那样的生命还能够被称作人类吗？
"西塞罗":   真正的人类，懂得运用超越物质的强韧精神来克服一切道具的副作用。
"西塞罗":   而现阶段，那些没能克服的，或许只能哀叹自己孱弱的思维与肉体无法承载“人类”这一词语的重量。
"水月":   ......
"水月":   我会让海沫活下去。
"西塞罗":   这是你仁慈的选择，只要是你想做的就去做吧。
"西塞罗":   你的一切行为都将为后人所标榜。
"西塞罗":   很高兴见到你，水月。正如我说的那样，只要你不偏离道路，我们终会重逢。
"西塞罗":   我们会再见的。

"水月":   哼......老爷爷还是和以前一样固执。

"海沫":   呜......呜呜......
"水月":   你醒了？
"水月":   变成那样身体消耗也挺大的，想要吃点什么吗，我帮你做。
"海沫":   好......
"海沫":   哎等等，那个是？！

"水月":   啊啊，这是你的肢体。
"海沫":   ？！
"水月":   你没能完全成为海嗣，所以增生出的组织大多会脱落。
"水月":   至于一些粘连在肉体上的部分我也帮你切除了，以后你还是能够像个正常人一样生活，外形上不会被别人多嘴的。
"水月":   来吧，趁着肢体还新鲜，多少吃一些补充点生命力呗。
"海沫":   哎，啊，呃，这个，不是。
"水月":   嘿咻。

"水月":   不用担心，这个熟起来很快的。
"海沫":   我我我不是这个意思。
"水月":   嗯......这串可能确实有点焦了，那我先吃吧。
"海沫":   ......
"海沫":   水月......
"水月":   嗯？
"水月":   想要来一串吗？
"海沫":   不要！！！！！！！
"海沫":   不，不是这个问题......
"海沫":   ......
"海沫":   西塞罗爷爷离开了，我亲手证明了自己的盲目和无能......
"海沫":   我已经什么都没有了......
"水月":   或许吧。
"水月":   只要还能吃吃喝喝，手头有游戏玩，我还算是能够坦然地活着。
"水月":   那些让你拒绝成为海嗣的喜好，也一定能够让你继续生活下去。
"水月":   真的不来一口吗？
"海沫":   不了......
"水月":   唉，好吧。
"水月":   我虽然没带干粮，但还算知道一个好去处，那里有许多好人，也会做各种好吃的。
"水月":   或许也能让你拾回一些为人的实感。
"水月":   怎么样，要一起来吗？
"海沫":   ......
"海沫":   行。

